employee_id,first_name,last_name,position,store_id,hire_date,email,phone
36,Jane,Smith,Cashier,36,2022-04-15,99f3c637f7@example.com,+17657142667
37,Lisa,Williams,Sales Associate,37,2021-05-14,07317af9ef@example.com,+16205846476
38,John,Jones,Cashier,38,2020-02-09,799d83749e@example.com,+15128001958
39,Robert,Davis,Manager,39,2022-07-02,189dd4ca88@example.com,+11824138527
40,David,Davis,Stock Clerk,40,2022-08-07,5704b7f009@example.com,+11359595211
41,Jane,Brown,Sales Associate,41,2021-10-13,31749a48a7@example.com,+11537174710
42,Jane,Garcia,Stock Clerk,42,2021-10-19,d065a415a6@example.com,+17072343213
43,John,Jones,Sales Associate,43,2021-12-15,e8e102e9bd@example.com,+17735537256
44,Jane,Garcia,Manager,44,2021-08-24,dcaa0c81c4@example.com,+12396421178
45,Robert,Garcia,Stock Clerk,45,2021-03-12,85ccf525ea@example.com,+15029026617
46,David,Brown,Cashier,46,2019-12-17,758fd035a9@example.com,+19452368437
47,Jane,Miller,Manager,47,2020-08-24,fbd8d0c684@example.com,+12232912477
48,Lisa,Jones,Manager,48,2021-02-18,910a7e9783@example.com,+19168327920
49,Jane,Smith,Cashier,49,2019-01-14,05e273a636@example.com,+18471124583
50,Robert,Jones,Manager,50,2019-02-26,870d03c893@example.com,+15267221166
51,David,Garcia,Stock Clerk,51,2021-07-29,4029f0d46d@example.com,+13435958089
52,Robert,Garcia,Manager,52,2019-12-27,535c66b1c4@example.com,+12813712061
53,Michael,Smith,Customer Service,53,2022-03-06,d1a3dc8d2e@example.com,+12813736087
54,John,Smith,Manager,54,2021-09-09,fc843c0945@example.com,+16692287173
55,Robert,Brown,Stock Clerk,55,2021-04-20,d66242bc93@example.com,+19961537976
56,Lisa,Garcia,Sales Associate,56,2019-04-20,ddccae973c@example.com,+12806517004
57,Emily,Smith,Manager,57,2020-03-19,b7c6287bf5@example.com,+11602264587
58,Michael,Brown,Customer Service,58,2021-04-18,aa464efe0e@example.com,+12323778598
59,Lisa,Jones,Sales Associate,59,2019-11-14,06c0d3ef6e@example.com,+11088318109
60,Jane,Williams,Stock Clerk,60,2021-06-28,dccf05c07f@example.com,+18212180251
61,Emily,Davis,Customer Service,61,2022-03-24,c708074a85@example.com,+19153299643
62,Michael,Brown,Customer Service,62,2020-01-14,614333536b@example.com,+11769804203
63,Emily,Garcia,Manager,63,2019-05-26,70a7cde894@example.com,+18528023988
64,Robert,Garcia,Customer Service,64,2019-09-24,045ff1e7f5@example.com,+19272323740
65,Robert,Johnson,Manager,65,2022-03-24,fe8babcd22@example.com,+16669257934
66,Lisa,Miller,Stock Clerk,66,2020-05-03,550794d369@example.com,+18096871960
67,Jane,Jones,Cashier,67,2021-11-16,3c2c266ec4@example.com,+17276758970
68,Lisa,Garcia,Cashier,68,2020-12-05,42282c43ea@example.com,+12945980010
69,John,Brown,Cashier,69,2019-05-28,fdc2849aff@example.com,+14650033209
70,David,Johnson,Manager,70,2019-11-12,eaae1fc6b4@example.com,+19634638510
71,Michael,Miller,Customer Service,71,2018-10-05,6aca5985f1@example.com,+14164319748
72,Lisa,Brown,Manager,72,2021-09-15,872ffd16ac@example.com,+19275656904
73,Emily,Miller,Customer Service,73,2018-11-08,98ce7cb54f@example.com,+19137173290
74,Lisa,Jones,Customer Service,74,2019-10-07,0ce53ddba8@example.com,+19809459058
75,Emily,Davis,Stock Clerk,75,2020-02-05,31dc99a896@example.com,+17704715713
76,Lisa,Garcia,Cashier,76,2018-12-19,e8d05fd498@example.com,+12079181020
77,Jane,Davis,Stock Clerk,77,2019-04-04,3deb123a66@example.com,+13886006433
78,David,Garcia,Manager,78,2022-06-22,aca43d0481@example.com,+16199968362
79,Jane,Jones,Stock Clerk,79,2019-08-20,ba90f8f218@example.com,+11337069210
80,John,Garcia,Cashier,80,2022-06-27,ca9b991890@example.com,+17531915233
81,Lisa,Brown,Cashier,81,2019-05-10,c1c9608bb7@example.com,+12322855067
82,Jane,Garcia,Cashier,82,2022-08-27,2a0c120b1f@example.com,+18727447826
83,Emily,Garcia,Stock Clerk,83,2019-09-27,f0127b4b60@example.com,+18782003634
84,Emily,Johnson,Sales Associate,84,2020-01-04,68f4f4eb16@example.com,+15465061654
85,Emily,Williams,Customer Service,85,2019-01-10,adbd8db76e@example.com,+13648400667
86,Michael,Williams,Sales Associate,86,2020-07-23,94113fb2e2@example.com,+12496138231
87,David,Smith,Manager,87,2021-07-10,04384a8ba0@example.com,+15463561376
88,Lisa,Garcia,Cashier,88,2020-07-13,b881d25d5e@example.com,+13424345092
89,Michael,Jones,Customer Service,89,2020-07-30,1576abc73e@example.com,+13818424966
90,Sarah,Davis,Sales Associate,90,2021-08-14,0f8139b302@example.com,+17134520365
91,Michael,Davis,Cashier,91,2019-11-08,ab2e33f3fc@example.com,+12931187180
92,David,Williams,Manager,92,2021-06-13,e44b6a7d38@example.com,+12889727835
93,Lisa,Miller,Cashier,93,2021-12-21,ed5194ff6f@example.com,+11741699326
94,David,Jones,Cashier,94,2020-03-22,e7579749df@example.com,+13056960140
95,David,Garcia,Manager,95,2020-02-01,6e9fe23237@example.com,+16752229943
96,Jane,Davis,Sales Associate,96,2019-10-17,4914453b50@example.com,+15831014583
97,Lisa,Johnson,Customer Service,97,2020-12-21,8ffa27d14c@example.com,+14404337935
98,David,Miller,Cashier,98,2020-01-11,64f581a245@example.com,+11158380536
99,Jane,Jones,Manager,99,2020-10-18,b030c1c52b@example.com,+16871269148
100,David,Smith,Cashier,100,2019-07-24,59ed4f64b5@example.com,+14715545108
101,David,Davis,Manager,101,2020-11-01,c34ca2e63a@example.com,+11062652628
102,Emily,Miller,Customer Service,102,2020-11-17,e1db62c754@example.com,+14137887852
103,Emily,Brown,Sales Associate,103,2021-07-26,630236af14@example.com,+15822351358
104,Jane,Brown,Customer Service,104,2018-09-29,845fbd577f@example.com,+11064796120
105,Michael,Brown,Sales Associate,105,2020-02-03,5187b63641@example.com,+12715450117
106,Michael,Jones,Cashier,106,2022-07-27,3bc11cc7e9@example.com,+12499367230
107,David,Garcia,Customer Service,107,2022-03-13,fe086f6d2d@example.com,+19039808937
108,David,Smith,Cashier,108,2020-07-16,631bfc1166@example.com,+12280074148
109,Robert,Davis,Stock Clerk,109,2022-06-14,9e331d109c@example.com,+14166346679
110,Sarah,Garcia,Manager,110,2022-02-13,2317de0c2a@example.com,+16621789313
111,Robert,Miller,Customer Service,111,2021-06-21,d59edaa43d@example.com,+14509021099
112,Lisa,Miller,Customer Service,112,2022-05-14,769b56b2df@example.com,+11060346706
113,Lisa,Jones,Cashier,113,2018-12-22,b10a4c6e79@example.com,+15043315940
114,John,Smith,Sales Associate,114,2020-10-19,15cc68a01e@example.com,+19416794469
115,Jane,Smith,Sales Associate,115,2020-08-13,f2eaf63a26@example.com,+18152996012
116,Michael,Garcia,Sales Associate,116,2019-11-08,3ab8aa13de@example.com,+11795291369
117,Michael,Garcia,Manager,117,2021-08-30,5120a04af8@example.com,+16528573774
118,Sarah,Johnson,Manager,118,2021-08-21,a36e395f25@example.com,+11091378889
119,Michael,Smith,Sales Associate,119,2021-06-05,0d6bb61fa9@example.com,+19544837214
120,Robert,Davis,Stock Clerk,120,2021-01-14,13f2959bc8@example.com,+17777041338
121,David,Davis,Manager,121,2020-02-08,2a8812efc0@example.com,+18746285828
122,David,Brown,Sales Associate,122,2021-12-31,acfb8aa605@example.com,+14672917075
123,Michael,Miller,Manager,123,2021-12-31,5d203289e8@example.com,+12882930442
124,John,Davis,Manager,124,2020-03-05,377a182842@example.com,+17454957523
125,Robert,Davis,Sales Associate,125,2020-12-18,e57a0c33b7@example.com,+14946518259
126,David,Garcia,Sales Associate,126,2022-08-02,42f60a2452@example.com,+19418345102
127,Lisa,Jones,Stock Clerk,127,2021-01-23,96016418d0@example.com,+11028078136
128,Lisa,Williams,Sales Associate,128,2022-03-04,fe86d25306@example.com,+18673704862
129,David,Brown,Manager,129,2020-01-24,c904343643@example.com,+19650223346
130,Lisa,Johnson,Stock Clerk,130,2021-08-26,39205018ef@example.com,+15557245137
131,Emily,Williams,Sales Associate,131,2019-01-29,00951e6ab1@example.com,+19025795506
132,Lisa,Garcia,Stock Clerk,132,2022-07-28,1ba9eda8d8@example.com,+14506078188
133,David,Johnson,Cashier,133,2019-05-18,31be62fb4a@example.com,+15629304584
134,Michael,Davis,Stock Clerk,134,2022-02-22,c602ffa2e2@example.com,+17132589547
135,Michael,Jones,Customer Service,135,2021-01-29,4fa79a1c68@example.com,+16675401128
136,Sarah,Brown,Sales Associate,136,2022-01-22,68553a8a92@example.com,+11636952817
137,Sarah,Jones,Customer Service,137,2020-10-18,60c1c9fa8d@example.com,+13812636802
138,Sarah,Williams,Cashier,138,2020-04-27,c6ecbbc623@example.com,+12412476180
139,Robert,Smith,Sales Associate,139,2020-06-02,c4f1a2c210@example.com,+13036599433
140,David,Smith,Customer Service,140,2020-03-01,0f56c4b4ee@example.com,+14233009407
141,Michael,Jones,Customer Service,141,2020-09-18,8cbc8240cf@example.com,+17751971868
142,Michael,Miller,Cashier,142,2018-11-05,c81f4b1e2f@example.com,+12542010244
143,Michael,Brown,Cashier,143,2021-12-07,7aae32b021@example.com,+19416586710
144,Emily,Brown,Stock Clerk,144,2020-09-04,ca286b1639@example.com,+11044728659
145,Robert,Johnson,Manager,145,2021-09-18,e9040b7586@example.com,+15362446623
146,Michael,Garcia,Stock Clerk,146,2021-08-18,384acef138@example.com,+18263362946
147,Robert,Johnson,Manager,147,2020-12-22,6b23142bc7@example.com,+18736948018
148,Jane,Miller,Manager,148,2018-10-17,f7b1b38e57@example.com,+11515314216
149,David,Johnson,Customer Service,149,2020-08-23,7045726c10@example.com,+15193960891
150,Michael,Smith,Stock Clerk,150,2020-01-04,2833618ef9@example.com,+13853691614
151,Robert,Johnson,Cashier,151,2019-07-16,696bbc2205@example.com,+16026422661
152,Lisa,Brown,Sales Associate,152,2020-06-01,e5baba5c79@example.com,+16677910357
153,David,Smith,Customer Service,153,2019-10-30,60039c6ebc@example.com,+19949017791
154,Emily,Davis,Stock Clerk,154,2021-08-05,40fde3bed4@example.com,+11516392138
155,Michael,Brown,Manager,155,2021-07-04,35bbb913eb@example.com,+13243603010
156,Robert,Brown,Manager,156,2020-12-02,bfde19bb9c@example.com,+13720397861
157,Sarah,Davis,Stock Clerk,157,2022-06-16,5502848346@example.com,+19598212059
158,Robert,Miller,Sales Associate,158,2019-09-10,1fa245073f@example.com,+16483020123
159,Lisa,Johnson,Manager,159,2021-09-10,3fd9a437c6@example.com,+12949457792
160,Michael,Jones,Sales Associate,160,2020-06-22,ecadf4dfc2@example.com,+13874449927
161,Emily,Jones,Sales Associate,161,2022-07-27,7cb850c47f@example.com,+11062981537
162,Michael,Davis,Stock Clerk,162,2021-12-30,908af68f50@example.com,+11052108885
163,Robert,Garcia,Customer Service,163,2021-03-26,ecb7ba32f4@example.com,+17108180936
164,Lisa,Garcia,Cashier,164,2019-06-07,6d296c62b3@example.com,+12160308060
165,Sarah,Davis,Manager,165,2020-07-26,58b59d7d3d@example.com,+19412443811
166,Michael,Smith,Manager,166,2022-03-18,9920406c75@example.com,+19388327234
167,Sarah,Smith,Manager,167,2018-10-21,d133f3d226@example.com,+11250075758
168,Emily,Davis,Sales Associate,168,2021-02-26,b84c61a3bd@example.com,+11079377562
169,John,Garcia,Manager,169,2020-04-30,bb63d74dbd@example.com,+15452282494
170,Michael,Davis,Stock Clerk,170,2020-04-02,205d52c6de@example.com,+11013448815
171,Robert,Brown,Manager,171,2022-06-05,2f3e4ced97@example.com,+13353007836
172,Jane,Davis,Manager,172,2022-02-11,34130761bb@example.com,+13249498082
173,John,Davis,Stock Clerk,173,2021-11-23,e3f26fd9ac@example.com,+13258445423
174,Jane,Miller,Cashier,174,2021-03-29,4f71f49903@example.com,+17368828111
175,Sarah,Garcia,Sales Associate,175,2020-12-13,fd98e3cf53@example.com,+19552826259
176,Emily,Smith,Cashier,176,2020-10-07,b29e070db7@example.com,+15776568456
177,David,Miller,Sales Associate,177,2021-01-25,88de429013@example.com,+11066215216
178,Emily,Brown,Sales Associate,178,2021-06-28,16c0968ad2@example.com,+17763335278
179,Jane,Miller,Manager,179,2019-06-12,751840014c@example.com,+19227000982
180,Michael,Miller,Customer Service,180,2021-09-15,64725ed584@example.com,+11066915795
181,Emily,Smith,Customer Service,181,2022-08-18,2ab97cab07@example.com,+12161652838
182,John,Smith,Cashier,182,2019-07-18,c94e8949c3@example.com,+11008888785
183,John,Smith,Manager,183,2019-03-22,0489ad0233@example.com,+19596146609
184,Lisa,Johnson,Sales Associate,184,2019-04-08,3e61a00b9b@example.com,+16544927110
185,Emily,Brown,Manager,185,2021-01-28,04a60eebbb@example.com,+12995537402
186,Robert,Brown,Manager,186,2019-01-16,4f17e173c3@example.com,+11048973596
187,John,Davis,Customer Service,187,2018-09-15,56c3a52004@example.com,+12592528455
188,Emily,Williams,Manager,188,2022-01-24,47a840c8b7@example.com,+19610273187
189,Jane,Davis,Sales Associate,189,2020-06-21,3fdccc14a8@example.com,+12430298941
190,John,Davis,Customer Service,190,2020-09-16,e62edba641@example.com,+18070376249
191,Robert,Jones,Cashier,191,2019-01-14,579e60732b@example.com,+17100983000
192,Robert,Garcia,Sales Associate,192,2020-06-29,5dcb21de8e@example.com,+19720388834
193,David,Brown,Stock Clerk,193,2020-05-20,3a1f15f5a1@example.com,+16170430848
194,Jane,Jones,Customer Service,194,2020-11-06,40b7caa6bc@example.com,+11075653293
195,Jane,Brown,Stock Clerk,195,2021-11-20,949afcdb8a@example.com,+19432117028
196,Emily,Johnson,Stock Clerk,196,2021-05-25,0a2c8b3c7b@example.com,+17428742172
197,Robert,Davis,Cashier,197,2019-01-18,17d5bc5dd3@example.com,+16156846177
198,Michael,Brown,Manager,198,2021-03-19,c68a5b97a7@example.com,+14477659025
199,Emily,Davis,Manager,199,2019-11-04,293622d733@example.com,+11737697841
200,David,Garcia,Manager,200,2020-12-24,9d48155e75@example.com,+17644180095
201,Sarah,Williams,Stock Clerk,201,2021-04-30,3c8632fe06@example.com,+18995403240
202,Robert,Miller,Sales Associate,202,2021-12-25,f7276ed6a9@example.com,+19275426373
203,Robert,Jones,Cashier,203,2019-03-30,a549b77c8f@example.com,+13323533333
204,John,Jones,Stock Clerk,204,2022-06-10,d4e5b09fb5@example.com,+11054920829
205,David,Williams,Stock Clerk,205,2019-09-15,8e497801d3@example.com,+15677636560
206,Emily,Johnson,Customer Service,206,2021-02-12,0d04edd1b8@example.com,+15685327958
207,Michael,Jones,Customer Service,207,2021-11-27,cc2987d91b@example.com,+11261435443
208,Jane,Johnson,Cashier,208,2020-04-02,7dbe606cae@example.com,+15720258705
209,Emily,Smith,Manager,209,2019-09-30,0cfc6231f4@example.com,+11158546553
210,Michael,Smith,Customer Service,210,2021-01-22,8c75e607f9@example.com,+11008048977
211,Sarah,Smith,Sales Associate,211,2020-01-02,946ffcfd66@example.com,+14208842624
212,Jane,Jones,Customer Service,212,2022-03-31,ac5f4c0d2b@example.com,+17966356510
213,David,Jones,Sales Associate,213,2018-09-05,f165a3cca4@example.com,+18008350042
214,Sarah,Jones,Cashier,214,2018-11-06,99d0d2c993@example.com,+15097444358
215,Robert,Jones,Manager,215,2022-03-01,d343ea164f@example.com,+11009542150
216,John,Johnson,Cashier,216,2019-03-03,4c1e0bb4b8@example.com,+16687956757
217,John,Garcia,Customer Service,217,2020-06-02,d1764ac08b@example.com,+13265670500
218,Emily,Williams,Manager,218,2019-11-09,fa655c3726@example.com,+14956115900
219,David,Jones,Customer Service,219,2022-02-08,8faa20200c@example.com,+19383706768
220,David,Johnson,Stock Clerk,220,2020-03-02,3b17275540@example.com,+11435493536
221,John,Jones,Stock Clerk,221,2021-01-22,9b057b26dd@example.com,+14265115940
222,David,Brown,Cashier,222,2019-11-30,3648de2131@example.com,+18413148253
223,Robert,Miller,Manager,223,2022-01-31,837454375a@example.com,+11060903239
224,David,Johnson,Manager,224,2020-10-16,7275b9697f@example.com,+19678161144
225,Michael,Davis,Stock Clerk,225,2022-02-18,72bc3878bc@example.com,+17494220310
226,Lisa,Williams,Customer Service,226,2022-06-15,7e9d721869@example.com,+11161400731
227,Robert,Davis,Stock Clerk,227,2022-03-30,338d78217c@example.com,+15785526914
228,Lisa,Garcia,Stock Clerk,228,2019-03-18,abf0d30204@example.com,+19902073144
229,Michael,Williams,Manager,229,2019-05-31,f5828c20d3@example.com,+19648567983
230,Emily,Johnson,Manager,230,2021-05-23,8509e4d977@example.com,+18789194611
231,Robert,Brown,Stock Clerk,231,2019-10-11,499b1208f3@example.com,+18226708319
232,Jane,Johnson,Cashier,232,2021-09-27,4ac37e4a23@example.com,+18474641391
233,Michael,Brown,Cashier,233,2022-05-03,18cca0143c@example.com,+17144121960
234,David,Garcia,Customer Service,234,2021-09-04,ce4fa9689e@example.com,+15579136191
235,Jane,Jones,Manager,235,2020-06-07,6755798014@example.com,+19590069178
236,Emily,Jones,Sales Associate,236,2020-12-11,186d015525@example.com,+12884516819
237,John,Johnson,Cashier,237,2021-05-30,5c55dccd09@example.com,+19271164030
238,Robert,Brown,Customer Service,238,2020-10-04,27036c89c3@example.com,+11028404076
239,John,Jones,Stock Clerk,239,2021-09-26,f20109123a@example.com,+14276410261
240,Michael,Johnson,Customer Service,240,2021-07-09,5f5c16e8d3@example.com,+17660167110
241,Jane,Davis,Stock Clerk,241,2019-12-27,4f583a043b@example.com,+19247528127
242,Lisa,Miller,Customer Service,242,2021-05-31,d2580a87dc@example.com,+12014087689
243,Jane,Brown,Cashier,243,2021-11-28,7ed1dfe06e@example.com,+16024645087
244,Jane,Smith,Manager,244,2020-04-22,05e24aa4f4@example.com,+12034967649
245,Sarah,Garcia,Cashier,245,2019-12-11,42ed9dc3e8@example.com,+11079333702
246,Sarah,Garcia,Stock Clerk,246,2018-12-12,23bcd70f26@example.com,+11710151620
247,Lisa,Brown,Stock Clerk,247,2021-10-06,250ad16a87@example.com,+12463706991
248,Emily,Miller,Manager,248,2021-09-02,6c583650d0@example.com,+17677911215
249,David,Davis,Cashier,249,2022-07-14,c27322bbd8@example.com,+12020352541
250,John,Garcia,Stock Clerk,250,2018-10-02,aa41c70598@example.com,+13862788655
251,Robert,Davis,Stock Clerk,251,2021-03-02,04e20a1169@example.com,+13231782705
252,Emily,Williams,Cashier,252,2018-09-16,7f1e5a3a3d@example.com,+13459311641
253,Michael,Williams,Stock Clerk,253,2020-12-21,8c79f8ed43@example.com,+15054006112
254,Jane,Miller,Manager,254,2019-12-30,51a563ad4e@example.com,+17401859214
255,Lisa,Brown,Sales Associate,255,2021-02-19,f254239898@example.com,+19757301199
256,Emily,Johnson,Customer Service,256,2021-03-27,034992f130@example.com,+11041278863
257,John,Jones,Customer Service,257,2018-12-09,bddcb7858e@example.com,+17436158855
258,John,Miller,Sales Associate,258,2018-10-16,cfe493953a@example.com,+13197780267
259,John,Smith,Cashier,259,2020-12-03,b3d75c1d73@example.com,+18977874318
260,John,Garcia,Stock Clerk,260,2018-11-23,f7877d01a9@example.com,+18887100761
261,David,Williams,Stock Clerk,261,2020-11-05,166fccc8c5@example.com,+14350170741
262,Jane,Davis,Manager,262,2019-01-09,aa5cd1cc0c@example.com,+18171315610
263,Jane,Jones,Customer Service,263,2019-04-21,1b5eaf6945@example.com,+17342588396
264,John,Garcia,Manager,264,2019-12-23,7e2f683517@example.com,+15051114184
265,Robert,Davis,Manager,265,2022-01-01,e831c1d638@example.com,+17829957290
266,Robert,Miller,Sales Associate,266,2019-07-11,7c22335a2f@example.com,+11061049069
267,David,Davis,Stock Clerk,267,2018-11-01,9eabb208cb@example.com,+12947651610
268,Jane,Johnson,Stock Clerk,268,2018-11-13,29f0c84cb6@example.com,+13251950153
269,Robert,Williams,Customer Service,269,2019-10-18,d99c396a91@example.com,+17506647726
270,Emily,Williams,Manager,270,2021-01-13,5af45f9ee5@example.com,+17684611781
271,Michael,Smith,Manager,271,2019-02-24,97ea336e50@example.com,+16873783911
272,Lisa,Williams,Customer Service,272,2022-02-14,2618ee093a@example.com,+12609461667
273,Robert,Miller,Customer Service,273,2019-05-26,2667cddf09@example.com,+16258652411
274,David,Jones,Cashier,274,2022-07-27,5e43f4660a@example.com,+17796328010
275,Robert,Garcia,Cashier,275,2018-10-12,9ce67c7d1e@example.com,+15878792602
276,Michael,Miller,Cashier,276,2021-09-28,7b23ebcae5@example.com,+18158268214
277,Emily,Smith,Sales Associate,277,2019-02-12,0804fa3af8@example.com,+11090452424
278,Jane,Miller,Sales Associate,278,2019-10-10,1b62e1ad05@example.com,+14747062064
279,Jane,Johnson,Customer Service,279,2021-10-29,dbad6c96ce@example.com,+17576576729
280,John,Williams,Sales Associate,280,2022-02-28,ca8d1626b7@example.com,+13293010251
281,John,Davis,Sales Associate,281,2019-06-27,76d224f66e@example.com,+17885909682
282,Sarah,Davis,Cashier,282,2019-05-20,4f141ccb73@example.com,+13286245919
283,David,Johnson,Stock Clerk,283,2021-10-21,34f31de0cf@example.com,+15065683749
284,Emily,Brown,Cashier,284,2019-09-04,9cdea2c8f4@example.com,+16100781194
285,Lisa,Williams,Stock Clerk,285,2019-03-31,5b94baa702@example.com,+15388796328
286,Jane,Jones,Cashier,286,2019-01-26,2209a48271@example.com,+11920063381
287,Jane,Williams,Customer Service,287,2018-12-30,5381339945@example.com,+12775701279
288,Robert,Davis,Stock Clerk,288,2019-07-06,6100a379f9@example.com,+15423892792
289,Sarah,Brown,Manager,289,2020-04-05,773fb61dd3@example.com,+19840387788
290,Sarah,Johnson,Customer Service,290,2020-10-20,81a1bfd86f@example.com,+16358907844
291,Emily,Williams,Manager,291,2020-06-27,8a2d739764@example.com,+19789188970
292,Lisa,Smith,Stock Clerk,292,2019-01-24,fb72de3b97@example.com,+17201935261
293,Sarah,Williams,Cashier,293,2019-10-26,e5c12c7e2c@example.com,+17058886682
294,Robert,Garcia,Customer Service,294,2021-08-29,acdb489aad@example.com,+11827110009
295,Lisa,Brown,Manager,295,2019-11-19,055c5ca11a@example.com,+19144750766
296,John,Johnson,Sales Associate,296,2020-12-01,4eee3763ce@example.com,+13802189904
297,Michael,Smith,Sales Associate,297,2021-01-23,687d1500bd@example.com,+17178655374
298,Lisa,Williams,Stock Clerk,298,2020-08-15,f5cf6d7a14@example.com,+19766443051
299,Lisa,Garcia,Sales Associate,299,2022-02-20,4e6b70a777@example.com,+13541051557
300,Michael,Davis,Stock Clerk,300,2018-12-26,bbda0c33a0@example.com,+11359014233
301,Michael,Williams,Stock Clerk,301,2019-12-31,a96f84eb62@example.com,+19875728061
302,David,Johnson,Customer Service,302,2021-12-20,4e0e670789@example.com,+11050609685
303,John,Brown,Stock Clerk,303,2019-04-25,e85512d034@example.com,+11783874509
304,Jane,Jones,Cashier,304,2019-04-06,b48400e214@example.com,+18985022485
305,Emily,Miller,Customer Service,305,2021-10-24,161f89c211@example.com,+15898738684
306,Robert,Garcia,Customer Service,306,2021-08-09,6bbac9692e@example.com,+13000020833
307,Sarah,Miller,Cashier,307,2019-05-24,131836ea45@example.com,+11297186424
308,Robert,Garcia,Sales Associate,308,2021-09-04,f12405cc81@example.com,+11030120284
309,Emily,Brown,Stock Clerk,309,2022-01-12,93bbde7e8f@example.com,+18253982772
310,Sarah,Davis,Stock Clerk,310,2022-01-29,9d8ae350e3@example.com,+13285950749
311,John,Davis,Manager,311,2021-03-19,82d71d65dd@example.com,+13627580223
312,Jane,Smith,Stock Clerk,312,2019-04-13,1b8bd4b13c@example.com,+14805058915
313,David,Brown,Cashier,313,2021-07-08,9653a00cde@example.com,+12898488057
314,David,Brown,Manager,314,2021-01-08,3f4760a912@example.com,+14423209335
315,Sarah,Williams,Manager,315,2020-07-13,1b0171b352@example.com,+15111428870
316,Sarah,Brown,Stock Clerk,316,2019-03-14,c4e7e89689@example.com,+18840660666
317,David,Davis,Stock Clerk,317,2018-11-04,9810e5dc2f@example.com,+14195287175
318,John,Williams,Sales Associate,318,2021-08-09,696430c0d7@example.com,+11093568084
319,David,Smith,Stock Clerk,319,2019-06-06,088942d8b8@example.com,+12037505873
320,Jane,Johnson,Cashier,320,2019-03-18,a5fc8b2b8d@example.com,+12950068888
321,Lisa,Brown,Sales Associate,321,2022-09-01,a3a3f3755b@example.com,+12476158494
322,Jane,Johnson,Stock Clerk,322,2019-02-24,0fbf02b73d@example.com,+18902388546
323,John,Smith,Manager,323,2021-07-15,0a45e8e6be@example.com,+13249299169
324,Emily,Williams,Customer Service,324,2020-09-04,f50ac68bd1@example.com,+16460568409
325,Robert,Jones,Customer Service,325,2021-12-20,ba18d4470c@example.com,+19506248256
326,John,Davis,Stock Clerk,326,2018-11-01,3d05474485@example.com,+14876566046
